Name,Hull Nr.,Class,Builder,Shpbldg Prog. FY,Keel Laid,Launched,Comm'd,Decomm'd
Nautilus, SSN 571, 571, Electric Boat, 1952, 06/14/52, 01/21/54, 09/30/54, 03/03/80
Seawolf, SSN 575, 575, Electric Boat, 1953, 09/07/53, 07/21/55, 03/30/57, 03/31/87
Skate, SSN 578, 578, Electric Boat, 1955, 07/21/55, 05/16/57, 12/23/57, 09/12/86
Swordfish, SSN 579, 578, Portsmouth, 1955, 01/25/56, 08/27/57, 09/15/58, 06/02/89
Sargo, SSN 583, 578, Mare Island, 1956, 02/21/56, 10/10/57, 10/01/58, 02/26/88
Seadragon, SSN 584, 578, Portsmouth, 1956, 06/20/56, 08/16/58, 12/05/59, 06/12/84
Skipjack, SSN 585, 585, Electric Boat, 1956, 05/29/56, 05/26/58, 04/15/59, 04/19/90
Triton, SSN 586, 586, Electric Boat, 1956, 05/29/56, 08/19/58, 11/10/59, 04/30/86
Halibut, SSN 587, 587, Mare Island, 1956, 04/11/57, 01/09/59, 01/04/60, 06/30/76
Scamp, SSN 588, 585, Mare Island, 1957, 01/23/59, 10/08/60, 06/05/61, 04/28/88
Scorpion, SSN 589, 585, Electric Boat, 1957, 08/20/58, 12/19/59, 07/29/60, 05/22/68
Sculpin, SSN 590, 585, Ingalls, 1957, 02/03/58, 03/31/60, 06/01/61, 08/03/90
Shark, SSN 591, 585, Newport News, 1957, 02/24/58, 03/16/60, 02/09/61, 09/15/90
Snook, SSN 592, 585, Ingalls, 1957, 04/07/58, 10/31/60, 10/24/61, 10/16/86
Permit, SSN 594, 594, Mare Island, 1958, 05/01/59, 07/01/61, 05/29/62, 07/23/91
Thresher, SSN 593, 594, Portsmouth, 1957, 05/28/58, 07/09/60, 08/03/61, 04/10/63
Plunger, SSN 595, 594, Mare Island, 1958, 03/02/60, 12/09/61, 11/21/62, 02/02/90
Barb, SSN 596, 594, Ingalls, 1958, 11/09/59, 02/12/62, 08/24/63, 12/20/89
Pollack, SSN 603, 594, NY Shipbuilding, 1959, 03/14/60, 03/17/62, 05/26/64, 03/01/89
Haddo, SSN 604, 594, NY Shipbuilding, 1959, 09/09/60, 08/18/62, 12/16/64, 06/12/91
Jack, SSN 605, 594, Portsmouth, 1959, 09/16/60, 04/24/63, 03/31/67, 07/11/90
Tinosa, SSN 606, 594, Portsmouth, 1959, 11/24/59, 12/09/61, 11/17/64, 01/15/92
Dace, SSN 607, 594, Ingalls, 1959, 06/06/60, 08/18/62, 04/04/64, 12/02/88
Guardfish, SSN 612, 594, NY Shipbuilding, 1960, 02/28/61, 05/15/65, 12/20/66, 02/04/92
Flasher, SSN 613, 594, Electric Boat, 1960, 04/14/61, 06/22/63, 07/22/66, 09/14/92
Greenling, SSN 614, 594, Quincy, 1960, 08/15/61, 04/04/64, 11/03/67, 04/18/94
Gato, SSN 615, 594, Quincy, 1960, 12/15/61, 05/14/64, 01/25/68, 04/25/96
Haddock, SSN 621, 594, Ingalls, 1961, 04/24/61, 05/21/66, 12/22/67, 04/07/93
Tullibee, SSN 597, 597, Electric Boat, 1958, 05/26/58, 04/27/60, 11/09/60, 06/18/88
Sturgeon, SSN 637, 637, Electric Boat, 1962, 08/10/63, 02/26/66, 03/03/67, 08/01/94
Whale, SSN 638, 637, Quincy, 1962, 05/27/64, 10/14/66, 10/12/68, 06/25/96
