Name,Hull Nr.,Class,Reactor,Nr. Reactor,reference
Nautilus, SSN 571, 571, S2W, 1, https://www.energy.gov/sites/default/files/2013/08/f2/HewlettandDuncanNuclearNavyComplete.pdf#pg=415
Seawolf, SSN 575, 575, S2G, 1, https://en.wikipedia.org/wiki/USS_Seawolf_(SSN-575)
Skate, SSN 5782, 578, S3W, 1, https://en.wikipedia.org/wiki/USS_Skate_(SSN-578) 
Swordfish, SSN 579, 578, S3W, 1, https://en.wikipedia.org/wiki/USS_Skate_(SSN-578)
Sargo, SSN 583, 578, S3W, 1, https://en.wikipedia.org/wiki/USS_Skate_(SSN-578) 
Seadragon, SSN 584, 578, S3W, 1, https://en.wikipedia.org/wiki/USS_Skate_(SSN-578)
Skipjack, SSN 5825, 585, S5W, 1, https://www.jstor.org/stable/resrep14271.18?seq=2 
Triton, SSN 586, 586, S4G, 2, https://www.jstor.org/stable/resrep14271.18?seq=2
Halibut, SSN 587, 587, S3W, 1, https://en.wikipedia.org/wiki/USS_Halibut_(SSGN-587)
Scamp, SSN 588, 585, S5W, 1, https://www.jstor.org/stable/resrep14271.18?seq=2 
Scorpion, SSN 589, 585, S5W, 1, https://www.jstor.org/stable/resrep14271.18?seq=2 
Sculpin, SSN 590, 585, S5W, 1, https://www.jstor.org/stable/resrep14271.18?seq=2 
Shark, SSN 591, 585, S5W, 1, https://www.jstor.org/stable/resrep14271.18?seq=2 
Snook, SSN 592, 585, S5W, 1, https://www.jstor.org/stable/resrep14271.18?seq=2 
Permit, SSN 594, 594,S5W, 1, https://www.jstor.org/stable/resrep14271.18?seq=2 
Thresher, SSN 593, 594, S5W, 1, https://www.jstor.org/stable/resrep14271.18?seq=2
Plunger, SSN 595, 594,S5W, 1, https://www.jstor.org/stable/resrep14271.18?seq=2 
Barb, SSN 596, 594,S5W, 1, https://www.jstor.org/stable/resrep14271.18?seq=2 
Pollack, SSN 603, 594,S5W, 1, https://www.jstor.org/stable/resrep14271.18?seq=2 
Haddo, SSN 604, 594,S5W, 1, https://www.jstor.org/stable/resrep14271.18?seq=2 
Jack, SSN 605, 594,S5W, 1, https://www.jstor.org/stable/resrep14271.18?seq=2
Tinosa, SSN 606, 594,S5W, 1, https://www.jstor.org/stable/resrep14271.18?seq=2
Dace, SSN 607, 594,S5W, 1, https://www.jstor.org/stable/resrep14271.18?seq=2 
Guardfish, SSN 612, 594,S5W, 1, https://www.jstor.org/stable/resrep14271.18?seq=2 
Flasher, SSN 613, 594,S5W, 1, https://www.jstor.org/stable/resrep14271.18?seq=2 
Greenling, SSN 614, 594, S5W, 1, https://www.jstor.org/stable/resrep14271.18?seq=2
Gato, SSN 615, 594, S5W, 1, https://www.jstor.org/stable/resrep14271.18?seq=2
Haddock, SSN 621, 594,S5W, 1, https://www.jstor.org/stable/resrep14271.18?seq=2 
Tullibee, SSN 597, 597, S2C, 1, https://www.energy.gov/sites/default/files/2013/08/f2/HewlettandDuncanNuclearNavyComplete.pdf#pg=415
Sturgeon, SSN 637, 637, S5W, 1, https://www.jstor.org/stable/resrep14271.18?seq=2
Whale, SSN 638, 637, S5W, 1, https://www.jstor.org/stable/resrep14271.18?seq=2
Tautog, SSN 639, 637, S5W, 1, https://www.jstor.org/stable/resrep14271.18?seq=2 
Grayling, SSN 646, 637, S5W, 1, https://www.jstor.org/stable/resrep14271.18?seq=2
Pogy, SSN 647, 637, S5W, 1, https://www.jstor.org/stable/resrep14271.18?seq=2 
Aspro, SSN 648, 637, S5W, 1, https://www.jstor.org/stable/resrep14271.18?seq=2 
Sunfish, SSN 649, 637, S5W, 1, https://www.jstor.org/stable/resrep14271.18?seq=2 
Pargo, SSN 650, 637, S5W, 1, https://www.jstor.org/stable/resrep14271.18?seq=2 
Queenfish, SSN 651, 637, S5W, 1, https://www.jstor.org/stable/resrep14271.18?seq=2 
Puffer, SSN 652, 637, S5W, 1, https://www.jstor.org/stable/resrep14271.18?seq=2 
Ray, SSN 653, 637, S5W, 1, https://www.jstor.org/stable/resrep14271.18?seq=2 
Sand Lance, SSN 660, 637, S5W, 1, https://www.jstor.org/stable/resrep14271.18?seq=2
Lapon, SSN 661, 637, S5W, 1, https://www.jstor.org/stable/resrep14271.18?seq=2 
Gurnard, SSN 662, 637, S5W, 1, https://www.jstor.org/stable/resrep14271.18?seq=2 
Hammerhead, SSN 663, 637, S5W, 1, https://www.jstor.org/stable/resrep14271.18?seq=2 
Sea Devil, SSN 664, 637, S5W, 1, https://www.jstor.org/stable/resrep14271.18?seq=2 
Guitarro, SSN 665, 637, S5W, 1, https://www.jstor.org/stable/resrep14271.18?seq=2 
Hawkbill, SSN 666, 637, S5W, 1, https://www.jstor.org/stable/resrep14271.18?seq=2 
Bergall, SSN 667, 637, S5W, 1, https://www.jstor.org/stable/resrep14271.18?seq=2 
Spadefish, SSN 668, 637, S5W, 1, https://www.jstor.org/stable/resrep14271.18?seq=2 
Seahorse, SSN 669, 637, S5W, 1, https://www.jstor.org/stable/resrep14271.18?seq=2 
Finback, SSN 670, 637, S5W, 1, https://www.jstor.org/stable/resrep14271.18?seq=2 
Pintado, SSN 672, 637, S5W, 1, https://www.jstor.org/stable/resrep14271.18?seq=2 
Flying Fish, SSN 673, 637, S5W, 1, https://www.jstor.org/stable/resrep14271.18?seq=2 
Trepang, SSN 674, 637, S5W, 1, https://www.jstor.org/stable/resrep14271.18?seq=2 
